Name,Rgb
Pine Green,"(1, 121, 111)"
Pine Tree,"(42, 47, 35)"
Pink,"(255, 192, 203)"
Pink Pantone,"(215, 72, 148)"
Pink Flamingo,"(252, 116, 253)"
Pink Sherbet,"(247, 143, 167)"
Pink,"(255, 181, 197)"
Pink,"(238, 169, 184)"
Pink,"(205, 145, 158)"
Pink,"(139, 99, 108)"
Pistachio,"(147, 197, 114)"
Platinum,"(229, 228, 226)"
Plum,"(142, 69, 133)"
Plum,"(255, 187, 255)"
Plum,"(238, 174, 238)"
Plum,"(205, 150, 205)"
Plum,"(139, 102, 139)"
Plump Purple,"(89, 70, 178)"
Portland Orange,"(255, 90, 54)"
Powder Blue,"(176, 224, 230)"
Prussian Blue,"(0, 49, 83)"
Puce,"(204, 136, 153)"
Pumpkin,"(255, 117, 24)"
Purple,"(160, 32, 240)"
Purple,"(155, 48, 255)"
Purple,"(145, 44, 238)"
Purple,"(125, 38, 205)"
Purple,"(85, 26, 139)"
Quinacridone Magenta,"(142, 58, 89)"
Radical Red,"(255, 53, 94)"
Raspberry,"(227, 11, 93)"
Razzmatazz,"(227, 37, 107)"
Rebeccapurple,"(102, 51, 153)"
Red Orange,"(255, 83, 73)"
Red,"(255, 0, 0)"
Red,"(238, 0, 0)"
Red,"(205, 0, 0)"
Red,"(139, 0, 0)"
Redwood,"(164, 90, 82)"
Rifle Green,"(68, 76, 56)"
Rocket Metallic,"(138, 127, 128)"
Rose,"(255, 0, 127)"
Rose Bonbon,"(249, 66, 158)"
Rose Dust,"(158, 94, 111)"
Rose Pink,"(255, 102, 204)"
Rose Taupe,"(144, 93, 93)"
Rosewood,"(101, 0, 11)"
Rosy Brown,"(188, 143, 143)"
Rosy Brown,"(255, 193, 193)"
Rosy Brown,"(238, 180, 180)"
Rosy Brown,"(205, 155, 155)"
Rosy Brown,"(139, 105, 105)"
Royal Blue,"(65, 105, 225)"
Royal Blue,"(72, 118, 255)"
Royal Blue,"(67, 110, 238)"
Royal Blue,"(58, 95, 205)"
Royal Blue,"(39, 64, 139)"
Ruby,"(224, 17, 95)"
Russet,"(128, 70, 27)"
Russian Green,"(103, 146, 103)"
Russian Violet,"(50, 23, 77)"
Rust,"(183, 65, 14)"
Saddle Brown,"(139, 69, 19)"
Saffron,"(244, 196, 48)"
Sage,"(188, 184, 138)"
Salmon,"(250, 128, 114)"
Salmon,"(255, 140, 105)"
Salmon,"(238, 130, 98)"
Salmon,"(205, 112, 84)"
Salmon,"(139, 76, 57)"
Sandy Brown,"(244, 164, 96)"
Sap Green,"(80, 125, 42)"
Sapphire,"(15, 82, 186)"
Scarlet,"(255, 36, 0)"
School Bus,"(255, 216, 0)"
Sea Green,"(84, 255, 159)"
Sea Green,"(78, 238, 148)"
Sea Green,"(67, 205, 128)"
Sea Green,"(46, 139, 87)"
Seal Brown,"(89, 38, 11)"
Seashell,"(255, 245, 238)"
Seashell,"(238, 229, 222)"
Seashell,"(205, 197, 191)"
Seashell,"(139, 134, 130)"
Selective Yellow,"(255, 186, 0)"
Sepia,"(112, 66, 20)"
Shamrock Green,"(0, 158, 96)"
Shocking Pink,"(252, 15, 192)"
Sienna,"(160, 82, 45)"
Sienna,"(255, 130, 71)"
Sienna,"(238, 121, 66)"
Sienna,"(205, 104, 57)"
Sienna,"(139, 71, 38)"
Silver,"(192, 192, 192)"
Silver Pink,"(196, 174, 173)"
Sinopia,"(203, 65, 11)"
Skobeloff,"(0, 116, 116)"
Sky Blue,"(135, 206, 235)"
Sky Blue,"(135, 206, 255)"
Sky Blue,"(126, 192, 238)"
Sky Blue,"(108, 166, 205)"
Sky Blue,"(74, 112, 139)"
Slate Blue,"(106, 90, 205)"
Slate Blue,"(131, 111, 255)"
Slate Blue,"(122, 103, 238)"
Slate Blue,"(105, 89, 205)"
Slate Blue,"(71, 60, 139)"
Slate Gray,"(112, 128, 144)"
Slate Gray,"(198, 226, 255)"
Slate Gray,"(185, 211, 238)"
Slate Gray,"(159, 182, 205)"
Slate Gray,"(108, 123, 139)"
Smoky Black,"(16, 12, 8)"
Snow,"(255, 250, 250)"
Snow,"(238, 233, 233)"
Snow,"(205, 201, 201)"
Snow,"(139, 137, 137)"
Spanish Bistre,"(128, 117, 50)"
Spanish Orange,"(232, 97, 0)"
Spanish Pink,"(247, 191, 190)"
Spanish Viridian,"(0, 127, 92)"
Spring Bud,"(167, 252, 0)"
Spring Frost,"(135, 255, 42)"
Spring Green,"(0, 255, 127)"
Spring Green,"(0, 238, 118)"
Spring Green,"(0, 205, 102)"
Spring Green,"(0, 139, 69)"
Steel Pink,"(204, 51, 204)"
Steel Blue,"(70, 130, 180)"
Steel Blue,"(99, 184, 255)"
Steel Blue,"(92, 172, 238)"
Steel Blue,"(79, 148, 205)"
Steel Blue,"(54, 100, 139)"
Straw,"(228, 217, 111)"
Sunglow,"(255, 204, 51)"
Super Pink,"(207, 107, 169)"
Sweet Brown,"(168, 55, 49)"
Tan,"(210, 180, 140)"
Tan,"(255, 165, 79)"
Tan,"(238, 154, 73)"
Tan,"(205, 133, 63)"
Tan,"(139, 90, 43)"
Tangerine,"(242, 133, 0)"
Tart Orange,"(251, 77, 70)"
Taupe,"(72, 60, 50)"
Taupe Gray,"(139, 133, 137)"
Tea Green,"(208, 240, 192)"
Teal,"(0, 128, 128)"
Teal Blue,"(54, 117, 136)"
Terra Cotta,"(226, 114, 91)"
Thistle,"(216, 191, 216)"
Thistle,"(255, 225, 255)"
Thistle,"(238, 210, 238)"
Thistle,"(205, 181, 205)"
Thistle,"(139, 123, 139)"
Tiffany Blue,"(10, 186, 181)"
Timberwolf,"(219, 215, 210)"
Titanium Yellow,"(238, 230, 0)"
Tomato,"(255, 99, 71)"
Tomato,"(238, 92, 66)"
Tomato,"(205, 79, 57)"
Tomato,"(139, 54, 38)"
Tropical Rainforest,"(0, 117, 94)"
Tumbleweed,"(222, 170, 136)"
Turquoise,"(64, 224, 208)"
Turquoise Blue,"(0, 255, 239)"
Turquoise,"(0, 245, 255)"
Turquoise,"(0, 229, 238)"
Turquoise,"(0, 197, 205)"
Turquoise,"(0, 134, 139)"
Tuscan Red,"(124, 72, 72)"
Tuscany,"(192, 153, 153)"
Twilight Lavender,"(138, 73, 107)"
Tyrian Purple,"(102, 2, 60)"
U P,"(1, 68, 33)"
U P,"(123, 17, 19)"
Ultra Pink,"(255, 111, 255)"
Ultramarine,"(63, 0, 255)"
Ultramarine Blue,"(65, 102, 245)"
Unbleached Silk,"(255, 221, 202)"
United Nations,"(91, 146, 229)"
Upsdell Red,"(174, 32, 41)"
Van Dyke,"(102, 66, 40)"
Vanilla,"(243, 229, 171)"
Vanilla Ice,"(243, 143, 169)"
Vegas Gold,"(197, 179, 88)"
Venetian Red,"(200, 8, 21)"
Verdigris,"(67, 179, 174)"
Vermillion,"(227, 66, 52)"
Violet,"(238, 130, 238)"
Violet Red,"(208, 32, 144)"
Violet Red,"(255, 62, 150)"
Violet Red,"(238, 58, 140)"
Violet Red,"(205, 50, 120)"
Violet Red,"(139, 34, 82)"
Viridian,"(64, 130, 109)"
Viridian Green,"(0, 150, 152)"
Vivid Burgundy,"(159, 29, 53)"
Vivid Sky,"(0, 204, 255)"
Vivid Tangerine,"(255, 160, 137)"
Vivid Violet,"(159, 0, 255)"
Volt,"(206, 255, 0)"
Warm Black,"(0, 66, 66)"
Wheat,"(245, 222, 179)"
Wheat,"(255, 231, 186)"
Wheat,"(238, 216, 174)"
Wheat,"(205, 186, 150)"
Wheat,"(139, 126, 102)"
White,"(255, 255, 255)"
White Smoke,"(245, 245, 245)"
Wild Blue,"(162, 173, 208)"
Wild Orchid,"(212, 112, 162)"
Wild Strawberry,"(255, 67, 164)"
Windsor Tan,"(167, 85, 2)"
Wine,"(114, 47, 55)"
Wintergreen Dream,"(86, 136, 125)"
Wisteria,"(201, 160, 220)"
Xanadu,"(115, 134, 120)"
Yellow Orange,"(255, 174, 66)"
Yellow Pantone,"(254, 223, 0)"
Yellow,"(255, 255, 0)"
Yellow,"(238, 238, 0)"
Yellow,"(205, 205, 0)"
Yellow,"(139, 139, 0)"
Yellow Green,"(154, 205, 50)"
Zaffre,"(0, 20, 168)"
Zomp,"(57, 167, 142)"
